jp,fr,occurrences,has_var,en_hint
"採集をした証拠となるコイン。
「狩猟するだけがハンター
では無い」と書かれている。",,16,yes,"Proof of gathering prowess.
Its inscription reads: ""It's
not all about hunting."""
"Ｇ級の参加者のみ手にできる
といわれている希少鉱石。
強固な武具を生産できる。","Minerai rare réservé aux
chasseurs de rang G. Permet
un équipement résistant.",16,,
"ギルドから発行される、
特別な補助券。ある依頼を
受注する際に必要になる。",,15,yes,
"攻撃とその他系スキルが
アップするＧ級装飾品。",,14,yes,
"モンスターの甲殻の欠片。
武具の素材として使うには
小さすぎる。",,13,yes,
"何に使うのかわからない、
毒々しい色をした液体。
一部研究家などに需要がある。","Liquide aux teintes vénéneuses
à l'usage inconnu. Recherché
par certains savants.",13,,
"メゼポルタ広場の近郊などで
産出される鉱石の１種。
様々な色の結晶を含んでいる。",,12,yes,"A type of ore found near
Mezeporta Square. Contains
crystals of various colors."
"ギルドが回収している
アイテム。５万ゼニーで
売却可能。",,12,yes,
"『宮下Ｐの挑戦状』に挑む券。
「私からのクイズに答えられ
　るかな？ぐふふ…」",,12,yes,
"長い間、未開の地を切り開い
てきた狩人たちへの感謝の証。","Gage de gratitude envers les
chasseurs qui ont défriché
les terres inexplorées.",11,,
"硬度を追求し、限界まで鍛え
た鋼材。見る角度によって、
微妙に色を変えるという。","Acier forgé à l'extrême en
quête de dureté. Sa couleur
varie selon l'angle de vue.",11,,
"とあるハンターが描かれた
カード。非常に人気が有り
コレクターも多いという。",,11,yes,
"綺麗な色をした、小さな腕輪。
ハンターズギルドがときどき
配布しているらしい。",,11,yes,
"困難なクエストを達成した
ハンターにのみ与えられる
名誉ある証。",,11,yes,
"攻撃系スキルが
アップするＧ級装飾品。",,11,yes,
"新年にもらった謎の袋。
何かが入っているが、
ゼニーではないようだ。",,10,yes,"A mysterious bag received on
New Year's. It contains something,
but it doesn't seem to be Zenny."
"お店で売れる、換金用の金券
チケット。押されたスタンプ
の色で金額が異なる。",,10,yes,"Coupon that can be exchanged
for money. The color of the
stamp determines its value."
"一部の職人の間で需要が高い
奇想天外な道具セット。
何が入っているかわからない。",,10,yes,"A bizarre set of tools, much
in demand by some artisans.
What could it contain?"
"ハンターズギルドから、配布
されたカード。
価値はなく、用途は不明。",,10,yes,
"困難を乗り越えし者に与える
名誉の勲章。武具工房で珍し
いピアスと交換できる。",,10,yes,
"狩人祭の参加者が獲られる追
憶。祭で狩りの腕に磨きを
かけた者たちへの褒賞品。",,10,,
"モンスターを模した人形。
作り手の気分で作られている
ため数量は少ない。",,10,yes,
"狩人祭の参加者が得られる想
い。仲間と共に狩りの腕に磨
きをかけた者たちへの褒賞品。",,10,,
"鮮やかな色のついた古い木箱。
中に何か入っているようだが、
開けることができない。","Vieux coffret de bois aux
couleurs vives. Quelque chose
y dort, mais il ne s'ouvre pas.",10,,
"古代人が記したとされる
天廊武器を生産することが
出来る秘文書。","Document secret des anciens
permettant de forger une
arme du Couloir céleste.",10,,
※開発用,,9,,※For Development
"類稀なる強靭な古龍の狩猟を
達成した者だけが得ることの
できる証。","Preuve réservée à qui a vaincu
les dragons anciens les plus
redoutables.",8,,"Only available to those who
have shown they can hunt the
oldest, toughest dragons."
"特殊な性質を持った稀少な紙
で作られたチケット。
特別な品と交換できる。",,8,yes,"A ticket made of rare paper
with unique properties. Swap
it for something special!"
"セケンピアスの
生産方法が記された紙。
工房に持って行こう！",,8,yes,
"ジオピアスの
生産方法が記された紙。
工房に持って行こう！",,8,yes,
"世話やきネコのお気に入り。
他のアイテムと交換できそう。",,8,yes,
"トリアピアスの
生産方法が記された紙。
工房に持って行こう！",,8,yes,
"お店で売れる、Ｇ級ハンター
のみが所持できる換金用の
金券。色で金額が異なる。",,8,yes,
"熱き魂が詰まった玉。
持っているだけで魂を追加で
獲得できる。","Sphère emplie d'âmes ardentes.
La porter permet d'en gagner
davantage.",8,,
"攻撃と保護系スキルなどが
アップするＧ級装飾品。",,8,yes,
"鳥竜の模様をしたグーク笛の
生産方法が記された紙。
工房に持って行こう！",,8,yes,
"グークの足を模した防具の
生産方法が記された紙。
工房に持って行こう！",,8,yes,
"演習用の特殊な装飾品。
生産は不可能。",,7,,"A special decoration for
training purposes. Cannot
be created."
"ガニアシリーズの
生産方法が記された紙。
工房に持って行こう！",,7,yes,
"狩人道場で演習を
受けた時に贈られるコイン。
教官の気まぐれでもらえる。",,6,yes,"Coin given to those who
cleared a Hunter Dojo training."
"ハンターズギルドから、時々
配布されるコイン。
様々な用途に使用される。",,6,yes,"A Coin sometimes distributed
by the Hunters' Guild. Has a
variety of uses."
"肉球のスタンプが押されてい
る獣人族の通貨。
刻まれている文字は読めない。",,6,yes,"Lynian currency with a
pawprint stamped on it. Its
engraving is unreadable."
"ある種の鉱石から生産された
防具を強化できる素材。種類
によって多彩な変化を見せる。",,6,,"Improves gear made from a
certain ore. Its effect will
vary depending on its type."
"時おり産出される希少鉱石の
欠片。鮮やかな色彩の結晶を
含有しており、用途も様々。",,6,,"A fragment of a rarely
produced ore containing
colored crystals. Versatile."
"ハンターズギルドから、時々
配布されるシール。
様々な用途に使用される。",,6,yes,"A seal sometimes
distributed by the Guild.
Has a variety of uses."
"希少価値が高い特殊な液体。
様々な用途に使用され、
隠れた愛好家もいるらしい。",,6,,"A precious liquid. Its
versatility has won it
legions of fans."
"希少価値が高い特殊な袋。
様々な用途に使用され、
隠れた愛好家もいるらしい。",,6,,"A special pouch. Its
versatility has won it
legions of fans."
"希少価値が高い特殊な壺。
様々な用途に使用され、
隠れた愛好家もいるらしい。",,6,,"A precious pot. Its
versatility has won it
legions of fans."
"ある時期になると登場する、
ヴォルガノスによく似た人形。
人形だから食べられない。",,6,yes,
"ホルクがクエストクリア時に
落とすことがある羽根。
調合用素材として用いられる。",,6,yes,
"用途がよくわからない薬液。
強烈な臭いがするらしく、
密封されている。",,6,,
"モンスターの体内で生成された
結晶。生命力の源とされ様々な
武具の素材として使われる。",,6,yes,
"ハンターズギルドから、
配布されたパス。
時々配布されるが用途は不明。",,6,yes,
"ハンターズギルドから、
配布されたリング。
しかしながら、用途は不明。",,6,yes,
"ハンターズギルドから、
配布されたバッジ。
しかしながら、用途は不明。",,6,yes,
"ハンターズギルドから、
配布されたメダル。
様々な用途に使用される。",,6,yes,
"古代人が記したとされる
天廊防具の生産を指示した
古文書。",,6,,
"ハンターズギルドから配布さ
れる、絆の深いハンター同士
で交換や譲渡ができる証。",,6,yes,
"メゼポルタ広場で暗躍する、
謎の組織のシール。時折広場
に貼られている。",,6,yes,
"メゼポルタ広場で暗躍する、
謎の組織のボタン。時折広場
に落ちている。",,6,yes,
"メゼポルタ広場で暗躍する、
謎の組織のパス。アジトへの
出入りに使われる。",,6,yes,
"メゼポルタ広場で暗躍する、
謎の組織の指輪。
サイズは団員サイズ。",,6,yes,
"一見岩の塊のように見えるが、
実はさびまみれの金属。磨け
ば掘り出し物の可能性が…。",,5,,"Looks like a lump of dirt,
but it's actually rusted metal.
Try polishing it..."
"一見、化石の様に見えるが
何かの金属らしい。磨けば
掘り出し物の可能性が…。",,5,,"Appears to be some kind of
fossilized metal. Maybe a treasure
if polished."
"チャチャブーの持ち物。
彼らにとっては貴重品。
ゴミにしか見えないが…。",,5,yes,"This item, dropped by a
Shakalaka, looks like trash,
but is highly treasured."
"イベント用の特殊な装飾品。
生産は不可能。",,5,yes,"A special decoration for
events. Cannot be created in
workshops."
"１周年記念防具の生産券。
工房で好きな色を選んで生産
しよう！",,5,,"An armor ticket awarded on
your first anniversary. Take
it to the Smithy!"
"リアンシリーズの生産方法が
記された紙。工房で好きな色
を選んで生産しよう！",,5,yes,"Instructions for making Rian
Series armor. Take to the
Smithy and choose a color!"
"アルマシリーズの生産方法が
記された紙。工房で好きな色
を選んで生産しよう！",,5,yes,"Instructions for making Alma
Series armor. Take to the
Smithy and choose a color!"
"しろねこ服シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,"Instructions for making
White Felyne series clothes.
Take them to the Smithy!"
"メゼポルタ広場で暗躍する、
謎の組織の身分証。偉そうな
メラルーの顔が描かれている。",,5,yes,"ID badge for members of a
mysterious group who
operate in Mezeporta Square."
"失われた武具の生産法が記さ
れた書。破損して断片的な情
報しかない。全部揃えると…。",,5,,"Part of the instructions for
making some equipment.
Try collecting them all!"
"イクスシリーズの生産方法が
記された紙。工房で好きな色
を選んで生産しよう！",,5,yes,"Instructions for making X
series armor. Take to the
Smithy and choose a color!"
"ホワイトメタルシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,"Instructions for making
White Metal series armor.
Take them to the Smithy!"
"シャランシリーズの生産方法が
記された紙。工房で好きな色
を選んで生産しよう！",,5,yes,"Instructions for making
Sharan Series armor. Take
them to the Smithy!"
"レアルシリーズの生産方法が
記された紙。工房で好きな色
を選んで生産しよう！",,5,yes,"Instructions for making
Real Series armor. Take
them to the Smithy!"
"フェルムシリーズの生産方法が
記された紙。工房で好きな色
を選んで生産しよう！",,5,yes,"Instructions for making
Ferrum Series armor.
Take them to the Smithy!"
"クレールシリーズの生産方法が
記された紙。工房で好きな色
を選んで生産しよう！",,5,yes,"Instructions for making
Craille Series armor.
Take them to the Smithy!"
"メレティシリーズの生産方法が
記された紙。工房で好きな色
を選んで生産しよう！",,5,yes,"Instructions for making
Melody Series armor.
Take them to the Smithy!"
"ゴルトシリーズの生産方法が
記された紙。工房で好きな色
を選んで生産しよう！",,5,yes,"Instructions for making
Golto Series armor.
Take them to the Smithy!"
"アリストシリーズの生産方法が
記された紙。工房で好きな色
を選んで生産しよう！",,5,yes,"Instructions for making
Aristo Series armor.
Take them to the Smithy!"
"テクストシリーズの生産方法が
記された紙。工房で好きな色
を選んで生産しよう！",,5,yes,"Instructions for making
Texto Series armor.
Take them to the Smithy!"
"アージェシリーズの生産方法が
記された紙。工房で好きな色
を選んで生産しよう！",,5,yes,"Instructions for making
Arge Series armor.
Take them to the Smithy!"
"何かの地図の断片。
全部揃えると……？",,5,,"A torn map fragment.
Try collecting them all..."
"レイジシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,"Instructions for making
Rage Series armor.
Take them to the Smithy!"
"ランページシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,"Instructions for making
Rampage Series armor.
Take them to the Smithy!"
"ブレイズシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,"Instructions for making
Blaze Series armor.
Take them to the Smithy!"
"ファランシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,"Instructions for making
Fallon Series armor.
Take them to the Smithy!"
"きんねこ服シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,"Instructions for making
Gold Felyne Series clothes.
Take them to the Smithy!"
"ぎんねこ服シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,"Instructions for making
Silver Felyne Series
clothes. Take to the Smithy!"
"スフィアシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,"Instructions for making
Sphere Series armor. Take
them to the Smithy!"
"リゲリアシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,"Instructions for making
Regalia Series armor.
Take them to the Smithy!"
"スリートシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,"Instructions for making
Sleet Series armor.
Take them to the Smithy!"
"カマレラシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,"Instructions for making
Camarella Series armor.
Take them to the Smithy!"
"ある時期になるとメゼポルタ
広場でよく作られるお菓子。
子供から大人まで大人気。",,5,yes,"A seasonal treat made in
Mezeporta. Popular with
people of all ages!"
"ステノシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"メテネラシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"バーニーシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ハンターズギルドから、配布
された正六面体のダイス。
しかしながら、用途は不明。",,5,yes,
"ハンターズギルドから、配布
された何も書かれていない本。
時々配布されるが用途は不明。",,5,yes,
"ハンターズギルドから、時々
発行される半券。
様々な用途に使用される。",,5,yes,
"ハンターズギルドから、時々
配布される袋。
様々な用途に使用できる。",,5,yes,
"エディオシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"アビットシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"蘭陀シリーズの生産方法が
記された紙。
工房に生産を依頼してみよう！",,5,yes,
"マイストシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"プーギーシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"マンドラシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"アオノコシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"トラスシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ガリトスシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"リブリーシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ヴァンパイアシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"カウチュシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"オメットシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"カエシスシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"シエナシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ガウスシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ウェーバシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ギルバートシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ゾデックシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"レイストシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"鬼武者シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"クロースシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"グロリアシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ＳＦ２５シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"鬼武者魂シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"鬼武者極シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"蒼竜シリーズの
生産方法が記された紙。
工房に持っていこう！",,5,yes,
"ブライトシリーズの
生産方法が記された紙。
工房に持っていこう！",,5,yes,
"ジュアリシリーズの
生産方法が記された紙。
工房に持っていこう！",,5,yes,
"ティンクシリーズの
生産方法が記された紙。
工房に持っていこう！",,5,yes,
"マゴスシリーズの
生産方法が記された紙。
工房に持っていこう！",,5,yes,
"全ての秘伝書を取得した者に
送られる特別な証。
工房へ持っていこう！",,5,,
"迫り来る覇種を討伐し、
迎撃戦に貢献した証。",,5,,
"赤備シリーズの
生産方法が記された紙。
工房に持っていこう！",,5,yes,
"Fate／SNシリーズの
生産方法が記された紙。
工房に持っていこう！",,5,yes,
"ミクシリーズの
生産方法が記された紙。
工房に持っていこう！",,5,yes,
"ピクスシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"メゼポルタ広場で暗躍する、
謎の組織のメダル。活躍した
団員に贈られるものらしい。",,5,yes,
"メゼポルタ広場で暗躍する、
謎の組織のコイン。組織の
通貨になっているようだ。",,5,yes,
"セクティシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"アミロシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"メトリーシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ノヴィーシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"リグイシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"FE覚醒シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"DMCシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ゲルトシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ゲノムシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ディヴォルシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ＳＦシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"Ｖ賖シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"サーブルシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ルワージュシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ノメルシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"Fate賖シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ザイラシリーズの
生産方法が記された紙。
工房に持っていこう！",,5,yes,
"キャロルシリーズの
生産方法が記された紙。
工房に持っていこう！",,5,yes,
"セレナシリーズの
生産方法が記された紙。
工房に持っていこう！",,5,yes,
"ヒストリアシリーズの
生産方法が記された紙。
工房に持っていこう！",,5,yes,
"オナブルシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"シェリフシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"進撃の巨人シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ISシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"飛天シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"アッシュシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"閃の軌跡賖シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ナーガシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"オユンシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"キャリッジシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"マーブルシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"シャンディシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"バンケットシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ヴェランシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ランデグシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"エンドレシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ネコダンシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"シャテムシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ヘヴリアシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ティルルシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"バンデシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"天日シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"アステリシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"レグヌムシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"マリンシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ルフレシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"天刻印を生産できる希石。
非常に希少性が高く、
貴重なもの。",,5,,
"不気味な模様が
描かれたお札。
用途は不明。",,5,,
"ダスクシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ディナトシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ドゥケシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"グラヌシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"アミスタシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"千代シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"ペリフシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"グーダンシリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"紅皇氷シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"蒼皇氷シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"白皇氷シリーズの
生産方法が記された紙。
工房に持って行こう！",,5,yes,
"歌姫の纏っている衣装を
模した布。滑らかな
肌触り。",,5,,
"耐性と防御系スキルが
アップするＧ級装飾品。",,5,yes,
"異国の言葉で文が書いてある。
唄の歌詞のようだ。
読める人に渡してあげよう。",,4,,"The text is written in a foreign language. 
It's like the lyrics of a song. 
Give it to someone who can read it."
"尾晶蠍の生命力の源となる、
発光成分を含む体液。
採取時の色を維持する。",,4,,"The Vashimu's power
source. This liquid doesn't
change color once collected."
"灰晶蠍の生命力の源となる、
発光成分を含む体液。
採取時の色を維持する。",,4,,"The Jebia's power
source. This liquid doesn't
change color once collected."
"薄汚れたガラクタに見える。
これだけでは使い道がないが、
武器の素材になるかも…。",,4,yes,"Looks like grimy junk. No
use on its own, but a
potential weapon material..."
"強い絆で結ばれたハンターの
結束の証。",,4,yes,"Proof that a tight bond has
been formed between Hunters."
"鈴の音が聞こえる不思議な塊。
何やら光の流れを感じる。
工房に持って行こう！",,4,,"A weird glowing lump that
makes a ringing sound like
a bell. Take to the Smithy!"
"ライダーシリーズの生産方法
が記された紙。工房で好きな
色を選んで生産しよう！",,4,yes,"Instructions for making
Rider Series armor.
Take them to the Smithy!"
"コーンスタンプの
生産方法が記された紙。
工房に持って行こう！",,4,yes,
"パピリオセーバーの
生産方法が記された紙。
工房に持って行こう！",,4,yes,
"ポキカルセイバーの
生産方法が記された紙。
工房に持って行こう！",,4,yes,
"パリンジャーの
生産方法が記された紙。
工房に持って行こう！",,4,yes,
"強力なモンスターの体内から、
稀に見つかる美しい宝玉。
触れると鼓動が聞こえてくる。",,4,yes,
"名称仮。
だみー。",,4,,
"秘伝防具への扉をあける鍵
となる双剣の生産方法が
記された素材。",,4,,
"万物の力をより強化すると伝
えられる鉱石。個別差があり、
同材質とは思えないほど多彩。",,4,,
"水源不明の謎の水。何故そこ
に存在するのかが分からず、
多くの研究者が頭を悩ませる。",,4,,
"４色の剣聖珠の力を合わせる
ことで、より強化された装飾
品。",,4,,
"４色の双龍珠の力を合わせる
ことで、より強化された装飾
品。",,4,,
"４色の剣王珠の力を合わせる
ことで、より強化された装飾
品。",,4,,
"４色の刀神珠の力を合わせる
ことで、より強化された装飾
品。",,4,,
"４色の鈍器獣珠の力を合わせ
ることで、より強化された
装飾品。",,4,,
"４色の奏帝珠の力を合わせる
ことで、より強化された装飾
品。",,4,,
"４色の天槍珠の力を合わせる
ことで、より強化された装飾
品。",,4,,
"４色の砲皇珠の力を合わせる
ことで、より強化された装飾
品。",,4,,
"４色の斬将珠の力を合わせる
ことで、より強化された装飾
品。",,4,,
"４色の穿凰珠の力を合わせる
ことで、より強化された装飾
品。",,4,,
"４色の銃仙珠の力を合わせる
ことで、より強化された装飾
品。",,4,,
"４色の銃傑珠の力を合わせる
ことで、より強化された装飾
品。",,4,,
"４色の弓鬼珠の力を合わせる
ことで、より強化された装飾
品。",,4,,
"和を感じさせる不思議な鉄。
鉄には見たことのない文字が
書かれているが、解読不能だ。",,4,,
"攻撃スキルが
アップするＧ級装飾品。",,4,yes,
"４色の磁星珠の力を合わせる
ことで、より強化された装飾
品。",,4,,
"気絶スキルが
アップする装飾品。",,3,yes,"A decoration that improves
your stun skill by 1"
"体力スキルが
アップする装飾品。",,3,yes,"A decoration that improves
your health skill by 1"
"全耐性ＵＰスキルが
アップする装飾品。",,3,yes,"A decoration that improves
your all UP skill by 3"
"採取スキルが
アップする装飾品。",,3,yes,"A decoration that improves
your gathering skill by 1"
"千里眼スキルが
アップする装飾品。",,3,yes,"A decoration that improves
your psychic skill by 1"
"初めて、新天地に訪れた狩人
たちへの記念の証。",,3,,
"古龍種の体表を覆う強固な殻。
威厳漂う一品。",,3,,
"優雅でしなやかな古龍種の毛。
高貴さを象徴する素材として
扱われることもある。",,3,,"Soft, elegant Elder Dragon
pelt. The very definition of
a high-class material."
"神秘に満ちた古龍種の皮。
あらゆる過酷な環境を問題に
しない適応力を持つ。",,3,,"Shrouded in mystery, and
capable of adapting to the
harshest of environments."
"人知を超えた力が漲る古龍種
の爪。空を裂き地を貫く。",,3,,
"ひと振りで、岩塊を薙ぎ払う
強靭な古龍種の尾。",,3,,
"古龍種の不思議な生態を支え
る古龍種の血。神秘性の源。",,3,,
"ひとたび羽ばたけば、災害を
もたらす古龍種の翼。
天の理をつかむ翼といわれる。",,3,,"One flap of this wing can
cause destruction akin to
the wrath of heaven."
"王者が、その頭上に頂く冠の
ごとき古龍種の角。
圧倒的な存在感を誇示する。",,3,,"This horn looks like the
crown of a king, and boasts
a commanding presence."
