section,index,source,orphan_target
dat/equipment/description,2332,神秘的な力を宿したピアス。{j}ハンターの潜在能力を引き{j}出す。,Hypnocatrice headgear.{j}用装備。眠鳥の威圧感を持つ。{j}{c07}SP Armor: Red{/c}
dat/equipment/description,2333,神秘的な力を宿したピアス。{j}ハンターの潜在能力を引き{j}出す。,Hypnocatrice headgear.{j}用装備。眠鳥の威圧感を持つ。{j}{c07}SP Armor: Yellow{/c}
dat/equipment/description,2340,熟練の武具職人が丹精込めて{j}仕上げた最高品質の頭装備。{j}狩猟技術の研鑽に役立つ。,エルペの素材を使った髪飾り。{j}髪をしなやかにまとめるため、{j}into a hair decoration.
dat/equipment/description,2341,熟練の武具職人が丹精込めて{j}仕上げた最高品質の頭装備。{j}狩猟技術の研鑽に役立つ。,エルペの素材を使った髪飾り。{j}髪をしなやかにまとめるため、{j}into a hair decoration.
dat/equipment/description,2374,跳緋獣の素材を使った髪飾り。{j}丈夫な糸によりまとめた髪は{j}激しい動きでも崩れない。,片手剣技を習得し始めた者が{j}may even dream of donning{j}練習用の頭防具。{c11}≪ＨＣ防具≫{/c}
dat/equipment/description,2375,不思議な力が宿る頭防具。{j}身に纏う者の能力を高める。{j}{c02}≪剛種防具≫{/c},双剣技を習得し始めた者が{j}may even dream of donning{j}練習用の頭防具。{c11}≪ＨＣ防具≫{/c}
dat/equipment/description,2376,不思議な力が宿る頭防具。{j}身に纏う者の能力を高める。{j}{c02}≪剛種防具≫{/c},大剣技を習得し始めた者が{j}may even dream of donning{j}練習用の頭防具。{c11}≪ＨＣ防具≫{/c}
dat/equipment/description,2377,偉大なるハンターに仕えた従{j}者が己の正装として考案した{j}頭防具。即座に狩猟へ赴ける。,太刀技を習得し始めた者が{j}may even dream of donning{j}練習用の頭防具。{c11}≪ＨＣ防具≫{/c}
dat/equipment/description,2378,偉大なるハンターに仕えた従{j}者が己の正装として考案した{j}頭防具。即座に狩猟へ赴ける。,鎚技を習得し始めた者が{j}may even dream of donning{j}練習用の頭防具。{c11}≪ＨＣ防具≫{/c}
dat/equipment/description,2379,東方より伝来した頭防具。強{j}靭な繊維を用いた特殊な製法{j}で織られ、軽さにも定評が。,狩猟笛技を習得し始めた者が{j}may even dream of donning{j}練習用の頭防具。{c11}≪ＨＣ防具≫{/c}
dat/equipment/description,2380,東方より伝来した頭防具。強{j}靭な繊維を用いた特殊な製法{j}で織られ、軽さにも定評が。,槍技を習得し始めた者が{j}may even dream of donning{j}練習用の頭防具。{c11}≪ＨＣ防具≫{/c}
dat/equipment/description,2381,東方より伝来した頭防具。強{j}靭な繊維を用いた特殊な製法{j}で織られ、軽さにも定評が。,銃槍技を習得し始めた者が{j}may even dream of donning{j}練習用の頭防具。{c11}≪ＨＣ防具≫{/c}
dat/equipment/description,2382,東方より伝来した頭防具。強{j}靭な繊維を用いた特殊な製法{j}で織られ、軽さにも定評が。,軽銃技を習得し始めた者が{j}may even dream of donning{j}練習用の頭防具。{c11}≪ＨＣ防具≫{/c}
dat/equipment/description,2383,遠方大陸からの遊客が残した{j}裁縫技術を用いて作られた頭{j}用の軽装束。,重銃技を習得し始めた者が{j}may even dream of donning{j}練習用の頭防具。{c11}≪ＨＣ防具≫{/c}
dat/equipment/description,2384,遠方大陸からの遊客が残した{j}裁縫技術を用いて作られた頭{j}用の軽装束。,弓技を習得し始めた者が{j}may even dream of donning{j}練習用の頭防具。{c11}≪ＨＣ防具≫{/c}
dat/equipment/description,2405,ギルドへの貢献度に応じて{j}贈られる頭防具。高度な{j}狩猟技術を持つ狩人の証。,遺跡で発見された破片を元に{j}模造し、組み上げた狩猟用の{j}prefer to work alone.
dat/equipment/description,2406,ギルドへの貢献度に応じて{j}贈られる頭防具。高度な{j}狩猟技術を持つ狩人の証。,遺跡で発見された破片を元に{j}模造し、組み上げた狩猟用の{j}prefer to work alone.
dat/equipment/description,2512,初心者から熟練者まで幅広く{j}愛用される頭防具。,Forged in a far-off land.{j}された頭防具。多種多様な狩り{j}に対応している。
dat/equipment/description,2532,勇猛果敢な剣士が好んで{j}装備する頭防具。,"From novices to old hands,{j}愛用される頭防具。"
dat/equipment/description,2533,勇猛果敢な射撃手が好んで{j}装備する頭防具。,"From novices to old hands,{j}愛用される頭防具。"
dat/equipment/description,2572,ガレオスの素材で作られた{j}頭用装備。大きなヒレの飾り{j}が誇らしげに輝く。,見た目とは裏腹に高い性能を{j}誇る不思議な頭防具。{j}{c07}SP Armor: Rainbow{/c}
dat/equipment/description,2573,ドドブランゴの素材で作られ{j}た頭用装備。異国の神を模し{j}たデザインは威厳が溢れる。,新米狩人のために用意された{j}シンプルな頭防具。{j}Pretty good for the price.
dat/equipment/description,2608,動きやすさだけではなく、{j}耐久性も重視されて開発{j}されたこだわりの頭防具。,黒鎧竜の素材を用いて新たに{j}作成された頭防具。従来より{j}slimline than ever.
dat/equipment/description,2609,動きやすさだけではなく、{j}耐久性も重視されて開発{j}されたこだわりの頭防具。,黒鎧竜の素材を用いて新たに{j}作成された頭防具。従来より{j}slimline than ever.
dat/equipment/description,2758,狩人になるための特別訓練を{j}受けた者の頭防具。連携を重{j}要視している。{c11}≪ＨＣ防具≫{/c},Sturdy kit said to have been{j}worn by those on the front-{j}頭防具。{c11}≪ＨＣ防具≫{/c}
dat/equipment/description,2760,狩人になるための特別訓練を{j}受けた者の頭防具。連携を重{j}要視している。{c11}≪ＨＣ防具≫{/c},Designed for Hunters in hot{j}pursuit of their prey. At{j}発揮される。{c11}≪ＨＣ防具≫{/c}
dat/equipment/description,5899,ダミー,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,7469,0,Secret Wyverian techniques{j}gift this armor the power{j}of blue Lunastra flame.
dat/equipment/description,7470,0,"Hewn from the Chameleos, it{j}recalls armor worn by sharp-{j}shooting Snipers of old."
dat/equipment/description,7471,0,"Adapted by the Smithy to{j}enhance attack support,{j}among other improvements."
dat/equipment/description,7472,0,This beautiful item is born{j}from a craftsman's dreams.{j}{c07}SP Armor: Red{/c}
dat/equipment/description,7473,0,High-density metal offers{j}superb defense without{j}hindering Hunter mobility.
dat/equipment/description,7474,0,Armor made of Genprey parts.{j}Its most distinctive feature{j}is the metal breast plate.
dat/equipment/description,7475,0,"Armor sourced from the Yian{j}Kut-Ku. Chunky and sturdy,{j}but still light."
dat/equipment/description,7476,0,"Made from the Basarios.{j}Though it's heavy-duty kit,{j}its quality makes it light."
dat/equipment/description,7477,0,Made using only the best{j}Cephalos parts. Its fin{j}epaulets are its trademark.
dat/equipment/description,7478,0,A suit of Plesioth scales{j}adorned with fins and a{j}downright stylish collar.
dat/equipment/description,7479,0,Chest armor covered in{j}rubbery Gypceros hide.{j}Resistant to thunder.
dat/equipment/description,7480,0,Wear this armor to hear the{j}heartbeat of the Fatalis. It{j}may give you nightmares...
dat/equipment/description,7481,0,"Made from common-or-garden{j}Velociprey parts, but it's{j}both durable and balanced."
dat/equipment/description,9419,ダミー,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9754,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。
dat/equipment/description,9755,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪狩護防具≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。
dat/equipment/description,9756,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。
dat/equipment/description,9757,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。{c11}≪狩護防具≫{/c}
dat/equipment/description,9758,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9759,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9760,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。
dat/equipment/description,9761,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪狩護防具≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。
dat/equipment/description,9762,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。
dat/equipment/description,9763,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。{c11}≪狩護防具≫{/c}
dat/equipment/description,9764,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9765,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9766,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。
dat/equipment/description,9767,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪狩護防具≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。
dat/equipment/description,9768,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。
dat/equipment/description,9769,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪狩護防具≫{/c}
dat/equipment/description,9770,異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9771,異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9772,異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。
dat/equipment/description,9773,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪狩護防具≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。
dat/equipment/description,9774,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。
dat/equipment/description,9775,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪狩護防具≫{/c}
dat/equipment/description,9776,異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9777,異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9778,異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,9779,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪狩護防具≫{/c},異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,9780,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,9781,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪狩護防具≫{/c}
dat/equipment/description,9782,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。若者に評価が高い。,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9783,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。若者に評価が高い。,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9784,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。若者に評価が高い。,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,9785,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。{c11}≪狩護防具≫{/c},異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,9786,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。{c11}≪Ｇ級狩護≫{/c},異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,9787,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪狩護防具≫{/c}
dat/equipment/description,9788,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。若者に評価が高い。,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9789,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。若者に評価が高い。,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9790,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。若者に評価が高い。,異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,9791,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。{c11}≪狩護防具≫{/c},異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,9792,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。{c11}≪Ｇ級狩護≫{/c},異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,9793,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪狩護防具≫{/c}
dat/equipment/description,9794,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。若者に評価が高い。,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9795,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。若者に評価が高い。,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9796,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。若者に評価が高い。,異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,9797,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。{c11}≪狩護防具≫{/c},異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,9798,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。{c11}≪Ｇ級狩護≫{/c},異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,9799,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪狩護防具≫{/c}
dat/equipment/description,9800,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。若者に評価が高い。,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,9801,独自のセンスを磨きあげた{j}職人の手により造られた{j}頭防具。若者に評価が高い。,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,10154,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。
dat/equipment/description,10155,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪狩護防具≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。
dat/equipment/description,10156,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。
dat/equipment/description,10157,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。{c11}≪狩護防具≫{/c}
dat/equipment/description,10158,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,10159,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,10160,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。
dat/equipment/description,10161,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪狩護防具≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。
dat/equipment/description,10162,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。
dat/equipment/description,10163,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。{c11}≪狩護防具≫{/c}
dat/equipment/description,10164,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,10165,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少年の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,10166,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。
dat/equipment/description,10167,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪狩護防具≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。
dat/equipment/description,10168,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。
dat/equipment/description,10169,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪狩護防具≫{/c}
dat/equipment/description,10170,異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,10171,異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,10172,異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。
dat/equipment/description,10173,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪狩護防具≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。
dat/equipment/description,10174,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。
dat/equipment/description,10175,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪狩護防具≫{/c}
dat/equipment/description,10176,異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,10177,異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,EVAと呼ばれる異世界の{j}兵器を操る少女の衣服を{j}模した頭防具。{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,10178,異世界の少女が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。,異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,10179,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪狩護防具≫{/c},異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,10180,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},異世界の少年が搭乗していた{j}EVAと呼ばれる人型兵器を{j}模した頭防具。
dat/equipment/description,10181,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c},EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪狩護防具≫{/c}
dat/equipment/description,10182,耐久力の高さもさること{j}ながら、軽量化も図った{j}最新鋭の頭防具。,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c}
dat/equipment/description,10183,耐久力の高さもさること{j}ながら、軽量化も図った{j}最新鋭の頭防具。,EVAと呼ばれる異世界の{j}人型兵器を模した頭防具。{j}{c11}≪Ｇ級狩護≫{/c}
