index,source,target
51,イーオスの頭部を模した頭用{j}装備。{j}イーオスの怒りに同調できる。,Its shape mimics the head{j}of the Ioprey. You'll feel{j}sympathy for its rage.
52,ブルファンゴの頭部を模した{j}頭用装備。ブルファンゴの{j}気持ちに近づける。,Its shape mimics the head{j}of the Bullfango. You'll{j}feel at one with the beast.
53,おしゃれさん御用達、{j}赤色のセクシーなピアス。{j}火属性の攻撃に強い。,A fashionable and sexy red{j}accessory that's resistant{j}to fire element attacks.
54,おしゃれさん御用達、{j}青色のクールなピアス。{j}水属性の攻撃に強い。,A modish and cool blue{j}accessory that's resistant{j}to water element attacks.
55,おしゃれさん御用達、{j}黄色のキュートなピアス。{j}雷属性の攻撃に強い。,A trendy and cute yellow{j}accessory that's resistant{j}to thunder element attacks.
56,おしゃれさん御用達、{j}黒のシックなピアス。{j}龍属性の攻撃に強い。,A chic black accessory{j}that's resistant to{j}dragon element attacks.
57,忍ぶ者へ授けられるという面{j}を模った武具。試練を乗り越{j}えた時その真価が問われる。,Armor awarded to stealthy{j}souls after training. Comes{j}into its own in adversity.
58,忍ぶ者へ授けられるという面{j}を模った武具。試練を乗り越{j}えた時その真価が問われる。,Armor awarded to stealthy{j}souls after training. Comes{j}into its own in adversity.
59,街を守護するという騎士の、{j}頭装備の廉価版。防御力は{j}高いが男性専用。,"For a knight on the town.{j}Offers high protection,{j}but is for men only."
60,街を守護するという騎士の、{j}頭装備の廉価版。羽飾りと特{j}徴的な面頬が人気の一品。,"For a knight on the town.{j}Has a distinctive visor,{j}and wing ornamentation."
61,お店の看板娘の制服。その{j}頭装備の同型品。特徴的な頭{j}飾りがキュート。,Headgear modeled on a{j}signboard girl's outfit.{j}Cute and individual.
62,お店の女性スタッフ用の制服{j}の市販版。清潔感のある{j}頭飾りとメガネがポイント。,"Popular version of{j}a shop girl's uniform,{j}complete with spectacles."
63,名だたる使い手の遺骨を加工{j}した頭用防具。全身に覇気が{j}みなぎり、感覚が鋭敏になる。,"Forged using the remains of{j}a famed master, it heightens{j}all of the wearer's senses."
64,黒狼鳥の禍々しい頭部を、で{j}きる限り再現した防具。不気{j}味なオーラが立ち上っている。,Designed to recreate the{j}sinister skull of a Garuga.{j}Emits an ominous aura.
65,黒狼鳥の素材を用いた防具。{j}素材に宿る力が、装着者に{j}鋭敏な感覚を与えるという。,"Made from Garuga, the power{j}it is imbued with serves to{j}sharpen the wearer's senses."
66,黒狼鳥の頭部を模した装備。{j}突き出した顎と広げた耳には{j}見る者を圧倒する迫力がある。,"Shaped like a Garuga head,{j}the protruding jaw and ears{j}strike fear into foes."
67,老山龍の素材で作られた男性{j}用兜。威風堂々とした出で{j}立ちは剣士究極の姿。,A man's helmet forged from{j}the bounty of the Lao-Shan.{j}Fit for a noble Brawler.
68,老山龍の素材で作られた男性{j}用兜。究極の素材により、東{j}方伝来の技術はここに極まる。,A man's helmet made of Lao-{j}Shan materials. Brims with{j}the mystery of the East.
69,老山龍の素材で作られた女性{j}用頭装備。凛々しくも神々{j}しい出で立ちは剣士究極の姿。,This woman's headgear made{j}of Lao-Shan gives its wearer{j}a grave and noble bearing.
70,老山龍の素材で作られた女性{j}用頭装備。龍の素材は匠の技{j}により究極の艶を放つ。,This woman's headgear made{j}of Lao-Shan is the lustrous{j}work of a master craftsman.
71,黒龍の唸りを思い起こさせる{j}頭用装備。いもしない黒龍の{j}視線に怯え狂死した使用者も。,"Some don this, only to be{j}struck with mortal terror{j}at the howl of the Fatalis."
72,今にも黒龍の断末魔が聞こえ{j}て来そうな頭用の装備。肉体{j}の限界を超えた力をもたらす。,"Suffused with a power beyond{j}the physical, it resonates{j}with a Fatalis's death howl."
73,軽い素材で作られた頭用装備。{j}使い手を選ばない堅実な{j}作りが安心。,"A piece of light headgear.{j}Sturdy, solid craftsmanship{j}makes it very reliable."
74,鉱石で作られた頭用装備。{j}これまで多くのハンターを{j}守ってきた由緒ある装備。,Headgear made from ore.{j}An item that has protected{j}generations of Hunters.
75,ハンター用に作られた頭用{j}装備。頑丈で通気性も良く{j}多くのハンターが愛用する。,"Headgear made for Hunters.{j}Well-ventilated and strong,{j}many Hunters swear by it."
76,ハンター用に作られた頭用{j}装備。目を覆う部分に{j}スコープを内蔵。,Headgear made for Hunters.{j}The section covering the{j}eyes has a scope built in.
77,モンスターの頭骨をベースに{j}作られた頭用装備。{j}ネイティブな香りが漂う。,Headgear made from a monster{j}skull. It has an ever-so-{j}slight grungy aroma.
78,頭骨になぞの装飾をあしらっ{j}た頭用装備。ここぞという{j}ときに装備したい一着。,"Ideal headgear for a crisis,{j}it features some mysterious{j}decorative features."
79,ギアノスの素材で作られた、{j}白い頭用装備。雪国ハンター{j}達のオシャレに最適。,A white helmet made with{j}Giaprey materials. Ideal for{j}snowy color-coordination.
80,ギアノスの素材を繋ぎ合わせ{j}た頭用装備。交易品として、{j}高く取引されることも。,Headgear made from Giaprey{j}materials. Apparently trades{j}for a high price.
81,ハンター用に作られた頭用{j}装備。かけだしのハンターに{j}は手の届かない品。,Headgear made for Hunters.{j}An item a novice Hunter can{j}only dream of possessing.
82,ハンター用に作られた頭用{j}装備。これを着用することは、{j}一流ハンターの証。,Headgear made for Hunters.{j}Wearing this signifies{j}entry to the Hunter elite.
83,ランゴスタの素材で覆われた{j}頭用装備。火と水には極端に{j}弱いが、硬い外殻により強固。,Headgear covered in Vespoid{j}material. Its hard shell is{j}very weak to fire and water.
84,ランゴスタの素材で覆われた{j}頭用装備。元が昆虫の甲殻だ{j}とは信じられないほど。,Headgear covered in Vespoid{j}materials. Hard to believe{j}it has an insectoid source.
85,強固なカンタロスの素材で{j}覆われた頭用装備。その光沢{j}は、金属と見まごうばかり。,"A lustrous, gold-hued helmet{j}encased in rock-hard{j}Hornetaur materials."
86,強固なカンタロスの素材で{j}覆われた頭用装備。龍耐性に{j}特化した貴重な防具。,A special dragon-resistant{j}helm encased in rock-hard{j}Hornetaur materials.
87,貴重な鉱石が主成分の頭用{j}装備。くせがなく手練れの{j}ハンターも愛用する。,A no-frills helm made mainly{j}from precious ore. Well-{j}loved by skilled Hunters.
88,貴重な鉱石が主成分の{j}頭用装備。その質実剛健な{j}美しさに見とれる者も多い。,"Boasting a simple, unadorned{j}beauty, this helm is made{j}chiefly from precious ore."
89,上質なゲネポスの素材で{j}作られた頭用装備。{j}ランポスヘルムの強化型。,This reinforced Velociprey{j}Helm is fashioned from high-{j}end Gendrome materials.
90,ゲネポスの細かい鱗を繋ぎ{j}合わせて作られた頭用装備。{j}高度な技術が用いられている。,A cutting-edge helm made{j}from the fine scales of{j}the Gendrome.
91,上質なイーオス素材で作られ{j}た頭用装備。ランポス系では{j}最強クラスの防具。,Among the strongest class of{j}Velociprey armor. Made{j}from quality Ioprey items.
92,紫の鱗が美しい防具。{j}厳選したイーオス素材を、繋{j}ぎ合わせて作られた頭用装備。,"A fine, purple-scaled helm{j}made from specially selected{j}Ioprey-sourced components."
93,ゲリョスの皮で覆われた頭用{j}装備。皮がゴム質のため、{j}物理攻撃には強い。,"Coated in rubbery Gypceros{j}hide, this helm is strong{j}against physical attacks."
94,ゲリョスの皮で覆われた頭用{j}装備。独特の外見には、{j}言い知れぬ威圧感がある。,"Coated in Gypceros hide, its{j}unique appearance imbues it{j}with an ineffable power."
95,ガレオスの素材で作られた{j}頭用装備。大きなヒレの飾り{j}が誇らしげに輝く。,"Crafted from the Cephalos,{j}this headgear boasts a large{j}fin that flashes boldly."
96,ガレオスの素材で作られた{j}頭用装備。ガレオスの鱗に{j}より水耐性が強化されている。,"Crafted from the Cephalos,{j}whose scales boost its{j}water resistance."
97,その美しさは見る者を魅了し、{j}感銘すら与えるという女王の{j}頭用装備。鉄壁の防御力。,Regal headwear that stuns{j}all who see it. Its defenses{j}are unimpeachable.
98,それ自体が宝石のように珍重{j}される、幻の防具。細部まで{j}尽くされた意匠は見事の一語。,"Semi-mythical armor, its{j}every detail speaks of the{j}mastery of its creator."
99,フルフルの皮で覆われた頭用{j}装備。暗い…。,A stygian helm enveloped{j}in inky Khezu hide.
100,フルフルの皮で覆われた頭用{j}装備。怪しい…。,A forbidding helm enveloped{j}in somber Khezu hide.
101,深い宵闇の色をした頭用装備。{j}これを被る者に出会ったが最{j}後、二度と夜明けは訪れない。,"As black as the night. Meet{j}someone wearing it, and{j}you won't see the dawn."
102,逢う魔が時の空のような色を{j}した頭用の装備。まさに悪魔{j}のごとき強さを発揮する。,"Brimming with a demonic{j}power, it is as gloomy{j}as the darkest night."
103,ガノトトスの強固な鱗をベー{j}スに、ヒレで装飾された頭用{j}装備。頑丈だが雷に弱い。,A fin-plumed helm made from{j}steely Plesioth scales.{j}Vulnerable only to thunder.
104,ガノトトスの鱗をベースに、{j}ヒレで装飾された頭用装備。{j}水属性攻撃を強力に弾く。,A fin-plumed helm made from{j}Plesioth scales. Fiercely{j}repels water attacks.
105,バサルモスの素材で作られた{j}頭用装備。高硬度の素材の{j}加工には、高い技術が必要。,Made from the Basarios.{j}Only true craftsmen can work{j}with this rigid material.
106,バサルモスの素材で作られた{j}頭用装備。照準の合わせやす{j}さも考慮された形状。,Made from the Basarios.{j}Its form makes targeting{j}easier for the wearer.
107,ディアブロスの象徴である{j}角が周囲を威嚇する頭用装備。{j}砂漠の覇者の証でもある。,A helm fit for the ruler of{j}the Desert. The Diablos horn{j}strikes fear into all.
108,角竜を仕留めた者だけが手に{j}できる、勇壮な頭用装備。{j}他の防具とは一線を画す風格。,Only a Diablos slayer can{j}don this majestic helm.{j}In a league of its own.
109,モノブロスの角が見るものを{j}畏怖させる、猛々しい頭装備。{j}これをかぶる者は英雄と同義。,A heroic helm. The Monoblos{j}horn will chill the blood{j}of any who lay eyes on it.
110,モノブロスの素材で作られた{j}頭用装備。格別の重厚感と{j}存在感がある。,"Made of Monoblos materials,{j}this helm has a unique heft{j}and power."
111,グラビモスの素材で作られた{j}頭用装備。岩の如き装甲が{j}モンスターの攻撃を防ぐ。,Made of Gravios materials.{j}Its rock-hard exterior foils{j}monster strikes.
112,グラビモスの素材で作られた{j}頭用装備。身に着けている{j}だけで猛者の証明となる。,Made of Gravios materials.{j}Just wearing it will give{j}you an air of true valor.
113,雲一つ無い澄みきった空の{j}ように心を無にできた者のみ{j}付けることが許された面。,A mask only those with{j}hearts as pure as a clear{j}blue sky can hope to wear.
114,海のように限りなく慈悲深き{j}心を持つ者のみ付けることが{j}許された面。,A mask only those with{j}hearts as deep as the{j}ocean can hope to wear.
115,ギルドを守護するナイトの、{j}正式な頭装備。金色の兜は{j}選ばれし者の証。,This golden helm is the{j}official headgear of the{j}defenders of the Guild.
116,ギルドナイトの正式な頭装備。{j}金の兜と赤い羽飾りが見る者{j}を威圧する。男性のみ着用可。,Official Guild headgear for{j}men only. The gold and red{j}overwhelms those who see it.
117,ギルドの看板娘達の正式な{j}制服。特徴的な頭飾りが{j}チャーミング。,"The uniform of the Guild's{j}signboard girls, it is both{j}unique and charming."
118,ギルドスタッフの正式な制服。{j}ギルドに貢献した女性のみ、{j}その着用が許される。,The Guild staff uniform.{j}Women who have contributed{j}to the Guild may wear it.
119,老山龍の素材で作られた男性{j}用兜。威風堂々とした出で{j}立ちは剣士究極の姿。,A man's helmet forged from{j}the bounty of the Lao-Shan.{j}Fit for a noble Brawler.
120,老山龍の素材で作られた男性{j}用兜。究極の素材により、東{j}方伝来の技術はここに極まる。,A man's helmet made of Lao-{j}Shan materials. Brims with{j}the mystery of the East.
121,老山龍の素材で作られた女性{j}用頭装備。凛々しくも神々{j}しい出で立ちは剣士究極の姿。,This woman's headgear made{j}of Lao-Shan gives its wearer{j}a grave and noble bearing.
122,老山龍の素材で作られた女性{j}用頭装備。龍の素材は匠の技{j}により究極の艶を放つ。,This woman's headgear made{j}of Lao-Shan is the lustrous{j}work of a master craftsman.
123,古い壁画に残る、龍をも凌ぐ{j}力を持つ人々の防具に酷似し{j}た頭装備。羽毛のように軽い。,"Feather-light, this helmet{j}is modeled on ancient wall{j}etchings of dragon slayers."
124,かぶると雑念が消え去り、目{j}の前の敵を殲滅することしか{j}考えられなくなる恐怖の防具。,Fearsome item that stops the{j}wearer from thinking about{j}anything but slaying.
125,黄金の月の欠片で作られたか{j}と思わせる、壮麗なる女王の{j}頭装備。光こそが最たる装飾。,"This queen's helm glimmers{j}purely, as if made from a{j}golden sliver of moon."
126,夜空から舞い降りた月の女王{j}の頭用装備。その美しさは{j}モンスターたちをも虜にする。,"This beautiful, queenly{j}helm charms monsters, and{j}glows like the dancing moon."
127,氷のように冷たい金属質の輝{j}きと、炎のような荒々しさを{j}併せ持つ銀竜を体現した防具。,"Its sheen is as cold{j}as ice, yet it calls to mind{j}the fire of silver dragons."
128,銀色の太陽から注ぐ、剣より{j}鋭い光をまとった頭用の装備。{j}放つ弾丸はすべてを貫く。,"Its sword-sharp light gleams{j}like a silver sun, while{j}its shots cut through all."
129,軽い素材で作られた頭用装備。{j}使い手を選ばない堅実な{j}作りが安心。,"A piece of light headgear.{j}Sturdy, solid craftsmanship{j}makes it very reliable."
130,鉱石で作られた頭用装備。{j}これまで多くのハンターを{j}守ってきた由緒ある装備。,Headgear made from ore.{j}An item that has protected{j}generations of Hunters.
131,ハンター用に作られた頭用{j}装備。頑丈で通気性も良く{j}多くのハンターが愛用する。,"Headgear made for Hunters.{j}Well-ventilated and strong,{j}many Hunters swear by it."
132,ハンター用に作られた頭用{j}装備。目を覆う部分に{j}スコープを内蔵。,Headgear made for Hunters.{j}The section covering the{j}eyes has a scope built in.
133,モンスターの頭骨をベースに{j}作られた頭用装備。{j}ネイティブな香りが漂う。,Headgear made from a monster{j}skull. It has an ever-so-{j}slight grungy aroma.
134,頭骨になぞの装飾をあしらっ{j}た頭用装備。ここぞという{j}ときに装備したい一着。,"Ideal headgear for a crisis,{j}it features some mysterious{j}decorative features."
135,ランポスの素材で作られた{j}頭用装備。{j}機能面でも実に優秀。,"Headgear made from materials{j}sourced from Velocipreys, it{j}boasts first-class features."
136,ランポスの素材を繋ぎ合わせ{j}て作られた頭用装備。{j}乱戦にも耐えうる防御力。,"Made by combining materials{j}from Velocipreys, this helm{j}can withstand melee combat."
137,ハンター用に作られた頭用{j}装備。かけだしのハンターに{j}は手の届かない品。,Headgear made for Hunters.{j}An item a novice Hunter can{j}only dream of possessing.
138,ハンター用に作られた頭用{j}装備。これを着用することは、{j}一流ハンターの証。,Headgear made for Hunters.{j}Wearing this signifies{j}entry to the Hunter elite.
139,ランゴスタの素材で覆われた{j}頭用装備。火と水には極端に{j}弱いが、硬い外殻により強固。,Headgear covered in Vespoid{j}material. Its hard shell is{j}very weak to fire and water.
140,ランゴスタの素材で覆われた{j}頭用装備。元が昆虫の甲殻だ{j}とは信じられないほど。,Headgear covered in Vespoid{j}materials. Hard to believe{j}it has an insectoid source.
141,強固なカンタロスの素材で{j}覆われた頭用装備。その光沢{j}は、金属と見まごうばかり。,"A lustrous, gold-hued helmet{j}encased in rock-hard{j}Hornetaur materials."
142,強固なカンタロスの素材で{j}覆われた頭用装備。龍耐性に{j}特化した貴重な防具。,A special dragon-resistant{j}helm encased in rock-hard{j}Hornetaur materials.
143,貴重な鉱石が主成分の頭用{j}装備。くせがなく手練れの{j}ハンターも愛用する。,A no-frills helm made mainly{j}from precious ore. Well-{j}loved by skilled Hunters.
144,貴重な鉱石が主成分の{j}頭用装備。その質実剛健な{j}美しさに見とれる者も多い。,"Boasting a simple, unadorned{j}beauty, this helm is made{j}chiefly from precious ore."
145,上質なゲネポスの素材で{j}作られた頭用装備。{j}ランポスヘルムの強化型。,This reinforced Velociprey{j}Helm is fashioned from high-{j}end Gendrome materials.
146,ゲネポスの細かい鱗を繋ぎ{j}合わせて作られた頭用装備。{j}高度な技術が用いられている。,A cutting-edge helm made{j}from the fine scales of{j}the Gendrome. 
147,イャンクックの、特に良質な{j}素材で作られた頭用装備。{j}怪鳥のイメージを覆す強さ。,Made of the finest Yian{j}Kut-Ku materials. Its power{j}is like the beast's itself.
148,ごく一部分からしか取れない{j}怪鳥の堅牢な甲殻を使った、{j}最上位の頭用装備。,A superior piece of headgear{j}that uses a very specific{j}piece of Kut-Ku shell.
149,上質なイーオス素材で作られ{j}た頭用装備。ランポス系では{j}最強クラスの防具。,Among the strongest class of{j}Velociprey armor. Made{j}from quality Ioprey items.
150,赤い鱗が美しい防具。{j}厳選したイーオス素材を、繋{j}ぎ合わせて作られた頭用装備。,A stunning red-scaled helm{j}made from specially selected{j}Ioprey-sourced components.
151,ゲリョスの皮で覆われた頭用{j}装備。皮がゴム質のため、{j}物理攻撃には強い。,"Coated in rubbery Gypceros{j}hide, this helm is strong{j}against physical attacks."
152,ゲリョスの皮で覆われた頭用{j}装備。独特の外見には、{j}言い知れぬ威圧感がある。,"Coated in Gypceros hide, its{j}unique appearance imbues it{j}with an ineffable power."
153,ガレオスの素材で作られた{j}頭用装備。大きなヒレの飾り{j}が誇らしげに輝く。,"Crafted from the Cephalos,{j}this headgear boasts a large{j}fin that flashes boldly."
154,ガレオスの素材で作られた{j}頭用装備。ガレオスの鱗に{j}より水耐性が強化されている。,"Crafted from the Cephalos,{j}whose scales boost its{j}water resistance."
155,女王の気品、そして華麗さと{j}力強さ。すべてが凝縮された、{j}美しくも恐るべき頭用装備。,"A regally refined helmet.{j}Captures the very essence of{j}elegance, power, and grace."
156,女王の名を冠する頭用の装備。{j}灼熱の火炎にも焦げ跡ひとつ{j}つかない、まさに芸術品。,A crown fit for royalty.{j}Hell's inferno could not{j}mar its perfect sheen.
157,フルフルの皮で覆われた頭用{j}装備。いろいろな意味で{j}怪しい雰囲気がただよう…。,A helm clad in Khezu hide.{j}It exudes darkness in every{j}possible sense.
158,フルフルの皮で覆われた頭用{j}装備。どことなく神秘的な{j}雰囲気がただよう…。,A helm clad in Khezu hide.{j}It exudes a truly enigmatic{j}aura.
159,ハンターにとって、王冠にも{j}等しい意味を持つ頭用の装備。{j}圧倒的な防御力が自慢の逸品。,"To a Hunter, this helm is{j}as treasured as any crown.{j}Offers peerless defense."
160,頭にこの防具を頂くものは、{j}即ち最強のハンターと見なさ{j}れる。全ガンナーの最終目標。,All Snipers dream of the day{j}they can don this helm and{j}join the Hunter elite.
161,ガノトトスの強固な鱗をベー{j}スに、ヒレで装飾された頭用{j}装備。頑丈だが雷に弱い。,A fin-plumed helm made from{j}steely Plesioth scales.{j}Vulnerable only to thunder.
162,ガノトトスの鱗をベースに、{j}ヒレで装飾された頭用装備。{j}水属性攻撃を強力に弾く。,A fin-plumed helm made from{j}Plesioth scales. Fiercely{j}repels water attacks.
163,バサルモスの素材で作られた{j}頭用装備。高硬度の素材の{j}加工には、高い技術が必要。,Made from the Basarios.{j}Only true craftsmen can work{j}with this rigid material.
164,バサルモスの素材で作られた{j}頭用装備。照準の合わせやす{j}さも考慮された形状。,Made from the Basarios.{j}Its form makes targeting{j}easier for the wearer.
165,ディアブロスの象徴である{j}角が周囲を威嚇する頭用装備。{j}砂漠の覇者の証でもある。,A helm fit for the ruler of{j}the Desert. The Diablos horn{j}strikes fear into all.
166,角竜を仕留めた者だけが手に{j}できる、勇壮な頭用装備。{j}他の防具とは一線を画す風格。,Only a Diablos slayer can{j}don this majestic helm.{j}In a league of its own.
167,モノブロスの角が見るものを{j}畏怖させる、猛々しい頭装備。{j}これをかぶる者は英雄と同義。,A heroic helm. The Monoblos{j}horn will chill the blood{j}of any who lay eyes on it.
168,モノブロスの素材で作られた{j}頭用装備。格別の重厚感と{j}存在感がある。,"Made of Monoblos materials,{j}this helm has a unique heft{j}and power."
