index,source,target
414,アクラＦアーム紅,Brassards Akura F cramoisis
415,アクラＦガード,Gardes Akura F
416,アクラＦガード黄,Gardes Akura F jaunes
417,アクラＦガード蒼,Gardes Akura F azur
418,アクラＦガード紅,Gardes Akura F cramoisies
419,エクエスアーム,Brassards Eques
420,エクエスガード,Gardes Eques
421,エクエスアーム改,
422,エクエスガード改,
423,エクエスＦアーム,Brassards Eques F
424,エクエスＦガード,Gardes Eques F
425,星祭の籠手・夏【赤】,
426,星祭の籠手・夏【青】,
427,星祭の籠手・夏【黒】,
428,星祭の籠手・夏【白】,
429,七夕の籠手・夏【赤】,
430,七夕の籠手・夏【青】,
431,七夕の籠手・夏【黒】,
432,七夕の籠手・夏【白】,
433,星祭の籠手・織【赤】,
434,星祭の籠手・織【青】,
435,星祭の籠手・織【黒】,
436,星祭の籠手・織【白】,
437,七夕の籠手・織【赤】,
438,七夕の籠手・織【青】,
439,七夕の籠手・織【黒】,
440,七夕の籠手・織【白】,
441,星祭の籠手・天【赤】,
442,星祭の籠手・天【青】,
443,星祭の籠手・天【黒】,
444,星祭の籠手・天【白】,
445,七夕の籠手・天【赤】,
446,七夕の籠手・天【青】,
447,七夕の籠手・天【黒】,
448,七夕の籠手・天【白】,
449,ハイメタアームSP黒,
450,ハイメタアームSP青,
451,ハイメタアームSP黄,
452,Ｓ・ソルアームSP赤,
453,Ｓ・ソルアームSP紫,
454,Ｓ・ソルアームSP黒,
455,ガルルガガードSP白,
456,ガルルガガードSP緑,
457,ガルルガガードSP赤,
458,ルーキーアーム【白】,Brassards Recrue [白]
459,ルーキーアーム【赤】,Brassards Recrue [赤]
460,ルーキーアーム【緑】,Brassards Recrue [緑]
461,ヒプノＳアーム,Brassards Hypnoc S
462,ヒプノＳガード,Gardes Hypnoc S
463,プロギアアーム,Brassards Purogia
464,オラシオンアーム,Brassards Oracion
465,レクイエムアーム,
466,アクラＵアーム,Brassards Akura U
467,アクラＵアーム黄,Brassards Akura U jaunes
468,アクラＵアーム蒼,Brassards Akura U azur
469,アクラＵアーム紅,Brassards Akura U cramoisis
470,アクラＵガード,Gardes Akura U
471,アクラＵガード黄,Gardes Akura U jaunes
472,アクラＵガード蒼,Gardes Akura U azur
473,アクラＵガード紅,Gardes Akura U cramoisies
474,メランアーム,Brassards Melan
475,メランガード,Gardes Melan
476,ルージュアーム,
477,マギサアーム・赤,Brassards Magisa rouges
478,マギサアーム・黒,Brassards Magisa noirs
479,マギサアーム・緑,Brassards Magisa verts
480,マギサアーム・白,Brassards Magisa blancs
481,マギサアーム・青,Brassards Magisa bleus
482,ウィザーガード・赤,Gardes Wither rouges
483,ウィザーガード・黒,Gardes Wither noires
484,ウィザーガード・緑,Gardes Wither vertes
485,ウィザーガード・白,Gardes Wither blanches
486,ウィザーガード・青,Gardes Wither bleues
487,マギサＦアーム・赤,Brassards Magisa F rouges
488,マギサＦアーム・黒,Brassards Magisa F noirs
489,マギサＦアーム・緑,Brassards Magisa F verts
490,マギサＦアーム・白,Brassards Magisa F blancs
491,マギサＦアーム・青,Brassards Magisa F bleus
492,ウィザーＦガード・赤,Gardes Wither F rouges
493,ウィザーＦガード・黒,Gardes Wither F noires
494,ウィザーＦガード・緑,Gardes Wither F vertes
495,ウィザーＦガード・白,Gardes Wither F blanches
496,ウィザーＦガード・青,Gardes Wither F bleues
497,クロウリーアーム・赤,
498,クロウリーアーム・黒,
499,クロウリーアーム・緑,
500,クロウリーアーム・白,
501,クロウリーアーム・青,
502,ファウストガード・赤,
503,ファウストガード・黒,
504,ファウストガード・緑,
505,ファウストガード・白,
506,ファウストガード・青,
507,クシャナハトゥーSP赤,
508,クシャナハトゥーSP黄,
509,クシャナハトゥーSP緑,
510,クシャナマカーンSP赤,
511,クシャナマカーンSP黄,
512,クシャナマカーンSP緑,
513,キリンアームSP赤,
514,キリンアームSP紫,
515,キリンアームSP黒,
516,キリングローブSP赤,
517,キリングローブSP紫,
518,キリングローブSP黒,
519,ストレガアーム,Brassards Strega
520,ストレガガード,Gardes Strega
521,ストレガアーム改,
522,ストレガガード改,
523,ストレガＦアーム,Brassards Strega F
524,ストレガＦガード,Gardes Strega F
525,フルフルＬアーム,Brassards Khezu L
526,ガレオスＬアーム,Brassards Cephalos L
527,ギザミＬアーム,Brassards Ceanataur L
528,レウスＬアーム,Brassards Rathalos L
529,マフモフＬミトン,
530,あかねこ服アーム,
531,アミティエアーム,Brassards Amitie
532,アミティエガード,Gardes Amitie
533,バサルＬガード,Gardes Basarios L
534,ゲリョスＬガード,Gardes Gypceros L
535,ガーディアンＲアーム,Brassards Gardien R
536,ヒーラーＲカフス,
537,ハンターＲアーム,Brassards Hunter's R
538,リオハートＲアーム,Brassards Rath R
539,ザザミＲアーム,Brassards Hermitaur R
540,アミティエＦアーム,Brassards Amitie F
541,アミティエＦガード,Gardes Amitie F
542,キューラーＦアーム,Brassards Kyuura F
543,ガーディアンＲマーノ,
544,ヒーラーＲスリーヴ,
545,クアッドアームＣ,
546,クアッドアーム,
547,ベルアーム,Brassards Beru
548,ベルガード,Gardes Beru
549,ベルＦアーム,Brassards Beru F
550,ベルＦガード,Gardes Beru F
551,リアンアーム・青,Brassards Rian bleus
552,リアンガード・青,Gardes Rian bleues
553,リアンアーム・赤,Brassards Rian rouges
554,リアンガード・赤,Gardes Rian rouges
555,リアンアーム・黒,Brassards Rian noirs
556,リアンガード・黒,Gardes Rian noires
557,リアンアーム・白,Brassards Rian blancs
558,リアンガード・白,Gardes Rian blanches
559,リアンＦアーム・青,Brassards Rian F bleus
560,リアンＦガード・青,Gardes Rian F bleues
561,リアンＦアーム・赤,Brassards Rian F rouges
562,リアンＦガード・赤,Gardes Rian F rouges
563,リアンＦアーム・黒,Brassards Rian F noirs
564,リアンＦガード・黒,Gardes Rian F noires
565,リアンＦアーム・白,Brassards Rian F blancs
566,リアンＦガード・白,Gardes Rian F blanches
567,カイザーアームSP白,
568,カイザーアームSP黒,
569,カイザーアームSP緑,
570,カイザーガードSP白,
571,カイザーガードSP黒,
572,カイザーガードSP緑,
573,ザザミアームSP青,
574,ザザミアームSP白,
575,ザザミアームSP紫,
576,クックＬアーム,Brassards Kut-Ku L
577,ゲリョスＬアーム,Brassards Gypceros L
578,イーオスＬアーム,Brassards Ioprey L
579,レイアＬアーム,Brassards Rathian L
580,バサルＬアーム,Brassards Basarios L
581,レウスＬガード,Gardes Rathalos L
582,モノブロスＬガード,Gardes Monoblos L
583,メルホアＲラーマ,
584,ハイメタＲアーム,
585,ディアブロＲアーム,Brassards Diablos R
586,ブランゴＲアーム,Brassards Blango R
587,ラヴァＲアーム,Brassards Lavasioth R
588,ギアノスＲガード,Gardes Giaprey R
589,バトルＲガード,Gardes Bataille R
590,ヒプノルータアーム,
591,ヒプノルータガード,
592,ガルーダアーム,Brassards Garuda
593,ガルーダガード,Gardes Garuda
594,エクストラＦアーム,
595,パピメルＬマーノ,
596,ヒプノＲアーム,Brassards Hypnoc R
597,ダミー,
598,ディジギアアーム,Brassards Digi
599,プリエールアーム,Brassards Priere
600,サルバシオンアーム,Brassards Salvacion
601,シカリの篭手,Kote Shikari
602,シカリの篭手・魁,
603,Ｇ・ガードＲグラブ蒼,
604,アルマアーム・黒,Brassards Alma noirs
605,アルマガード・黒,Gardes Alma noires
606,アルマアーム・白,Brassards Alma blancs
607,アルマガード・白,Gardes Alma blanches
608,アルマアーム・青,Brassards Alma bleus
609,アルマガード・青,Gardes Alma bleues
610,アルマアーム・茶,Brassards Alma bruns
611,アルマガード・茶,Gardes Alma brunes
612,オルデンアーム,Brassards Orden
613,オルデンガード,Gardes Orden
614,アルマＦアーム・黒,Brassards Alma F noirs
615,アルマＦガード・黒,Gardes Alma F noires
616,アルマＦアーム・白,Brassards Alma F blancs
617,アルマＦガード・白,Gardes Alma F blanches
618,アルマＦアーム・青,Brassards Alma F bleus
619,アルマＦガード・青,Gardes Alma F bleues
620,アルマＦアーム・茶,Brassards Alma F bruns
621,アルマＦガード・茶,Gardes Alma F brunes
622,オルデンＦアーム,Brassards Orden F
623,オルデンＦガード,Gardes Orden F
624,エス・クェラアーム,Brassards Es
625,エス・クェラガード,Gardes Es
626,パンデウムアーム,Brassards Pandeum
627,パンデウムガード,Gardes Pandeum
628,ゴスペルアームSP黒,
629,ゴスペルアームSP赤,
630,ゴスペルアームSP白,
631,しろねこ服Ｆアーム,
632,デスギアＬファオスト,
633,クロオビＬアーム,
634,バトルＬアーム,Brassards Bataille L
635,レックスＬアーム,Brassards Tigrex L
636,フルフルＲアーム,Brassards Khezu R
637,リオソウルＲアーム,Brassards Rath R
638,ギアノスＲアーム,Brassards Giaprey R
639,Ｇ・ガードＲグラブ蒼,
640,フルフルＬガード,Gardes Khezu L
641,イーオスＲガード,Gardes Ioprey R
642,プロクスアーム,Brassards Purokusu
643,プロクスＦアーム,Brassards Purokusu F
644,クレネスアーム,Brassards Kurenesu
645,クレネスＦアーム,Brassards Kurenesu F
646,スィーニアーム,Brassards Suini
647,スィーニＦアーム,Brassards Suini F
648,グラースガード,Gardes Guraasu
649,グラースＦガード,Gardes Guraasu F
650,フォルトゥアーム,Brassards Forutu
651,フォルトゥＦアーム,Brassards Forutu F
652,ファキルアーム,Brassards Fakiru
653,ファキルＦアーム,Brassards Fakiru F
654,バラバンアーム,Brassards Baraban
655,バラバンＦアーム,Brassards Baraban F
656,スフェラガード,Gardes Sufera
657,スフェラＦガード,Gardes Sufera F
658,パリアアーム,Brassards Paria
659,パリアＦアーム,Brassards Paria F
660,パリアガード,Gardes Paria
661,パリアＦガード,Gardes Paria F
662,ヒプノリアアーム,Brassards Hypnolia
663,ヒプノリアガード,Gardes Hypnolia
664,フィアラルアーム,Brassards Féral
665,フィアラルガード,Gardes Féral
666,鬼神ノ篭手,
667,ラスタ教官腕,
668,童子ノ篭手,
669,ダミー,
670,イクスアーム・白,Brassards Ix blancs
671,イクスＦアーム・白,Brassards Ix F blancs
672,イクスガード・白,Gardes Ix blanches
673,イクスＦガード・白,Gardes Ix F blanches
674,イクスアーム・赤,Brassards Ix rouges
675,イクスＦアーム・赤,Brassards Ix F rouges
676,イクスガード・赤,Gardes Ix rouges
677,イクスＦガード・赤,Gardes Ix F rouges
678,イクスアーム・青,Brassards Ix bleus
679,イクスＦアーム・青,Brassards Ix F bleus
680,イクスガード・青,Gardes Ix bleues
681,イクスＦガード・青,Gardes Ix F bleues
682,イクスアーム・黒,Brassards Ix noirs
683,イクスＦアーム・黒,Brassards Ix F noirs
684,イクスガード・黒,Gardes Ix noires
685,イクスＦガード・黒,Gardes Ix F noires
686,トランスアーム,Brassards Transe
687,トランスＦアーム,Brassards Transe F
688,トランスガード,Gardes Transe
689,トランスＦガード,Gardes Transe F
690,ミヅハ【大袖】SP青,
691,ミヅハ【大袖】SP赤,
692,ミヅハ【大袖】SP黄,
693,トヨタマ【大袖】SP青,
694,トヨタマ【大袖】SP赤,
695,トヨタマ【大袖】SP黄,
696,暁丸【篭手】SP赤,
697,暁丸【篭手】SP紫,
698,暁丸【篭手】SP白,
699,凛【篭手】SP黒,
700,凛【篭手】SP紫,
701,凛【篭手】SP白,
702,ハンターＬアーム,Brassards Hunter's L
703,キリンＬアームロング,
704,モノブロスＬアーム,Brassards Monoblos L
705,ディアブロＬアーム,Brassards Diablos L
706,グラビドＬアーム,Brassards Gravios L
707,ランゴＬアーム,Brassards Vespoid L
708,バサルＲアーム,Brassards Basarios R
709,Ｇ・ガードＲカフス蒼,
710,Ｇ・ガードＲカフス蒼,
711,モノデビルＲアーム,Brassards Monodevil R
712,タロスＲアーム,Brassards Hornetaur R
713,ギザミＲアーム,Brassards Ceanataur R
714,ブランゴＬガード,Gardes Blango L
715,ガノスＬガード,Gardes Plesioth L
716,フルフルＲガード,Gardes Khezu R
717,グラビドＲガード,Gardes Gravios R
718,ヴァイスファオスト,
719,ヴァイスベギアデ,
720,エスピナＲファオスト,
721,レックスＬガード,Gardes Tigrex L
722,ガンズアーム,Brassards Guns
723,ワイルドアーム,Brassards Sauvage
724,ガンズガード,Gardes Guns
725,ワイルドガード,Gardes Sauvage
726,エコールアーム,Brassards Ecole
727,ディアンアーム,Brassards Dian
728,エコールガード,Gardes Ecole
729,ディアンガード,Gardes Dian
730,ＣｏｒｅアームＣ,
731,ＣｏｒｅガードＣ,
732,Ｃｏｒｅアーム,Brassards Core
733,Ｃｏｒｅガード,Gardes Core
734,アネシスアーム,Brassards Aneshisu
735,アネシスガード,Gardes Aneshisu
736,クラージアーム,Brassards Kuraaji
737,クラージアーム改,
738,クラージＦアーム,Brassards Kuraaji F
739,クラージガード,Gardes Kuraaji
740,クラージガード改,
741,クラージＦガード,Gardes Kuraaji F
742,キノスアーム,Brassards Kinosu
743,ヒメロスアーム,Brassards Himeros
744,ブレシスアーム,Brassards Bureshisu
745,カリエンガード,Gardes Charien
746,アリエッタアーム,Brassards Arietta
747,テンペストアーム,Brassards Tempête
748,ヴェントガード,Gardes Vento
749,ミストラルガード,
750,アークアーム,
751,アークガード,
752,リオデュオアーム,Brassards Rath
753,リオデュオガード,Gardes Rath
754,シャランアーム・青,Brassards Sharan bleus
